,artist,genres
0,The Outfield,album rock
0,The Outfield,mellow gold
0,The Outfield,new romantic
0,The Outfield,new wave pop
0,The Outfield,power pop
0,The Outfield,soft rock
1,The Outfield,album rock
1,The Outfield,mellow gold
1,The Outfield,new romantic
1,The Outfield,new wave pop
1,The Outfield,power pop
1,The Outfield,soft rock
2,The Outfield,album rock
2,The Outfield,mellow gold
2,The Outfield,new romantic
2,The Outfield,new wave pop
2,The Outfield,power pop
2,The Outfield,soft rock
3,The Outfield,album rock
3,The Outfield,mellow gold
3,The Outfield,new romantic
3,The Outfield,new wave pop
3,The Outfield,power pop
3,The Outfield,soft rock
4,The Outfield,album rock
4,The Outfield,mellow gold
4,The Outfield,new romantic
4,The Outfield,new wave pop
4,The Outfield,power pop
4,The Outfield,soft rock
5,The Outfield,album rock
5,The Outfield,mellow gold
5,The Outfield,new romantic
5,The Outfield,new wave pop
5,The Outfield,power pop
5,The Outfield,soft rock
6,The Outfield,album rock
6,The Outfield,mellow gold
6,The Outfield,new romantic
6,The Outfield,new wave pop
6,The Outfield,power pop
6,The Outfield,soft rock
7,Lea Salonga,hollywood
7,Lea Salonga,movie tunes
7,Lea Salonga,show tunes
7,Lea Salonga,tagalog worship
8,Gorillaz,alternative hip hop
9,Gorillaz,alternative hip hop
10,Gorillaz,alternative hip hop
11,Gorillaz,alternative hip hop
12,Gorillaz,alternative hip hop
13,Gorillaz,alternative hip hop
14,Gorillaz,alternative hip hop
15,Gorillaz,alternative hip hop
16,Gorillaz,alternative hip hop
17,Rawayana,reggae en espanol
17,Rawayana,venezuelan hip hop
17,Rawayana,venezuelan rock
18,Rawayana,reggae en espanol
18,Rawayana,venezuelan hip hop
18,Rawayana,venezuelan rock
19,Rawayana,reggae en espanol
19,Rawayana,venezuelan hip hop
19,Rawayana,venezuelan rock
20,Jodi Benson,disney
20,Jodi Benson,hollywood
20,Jodi Benson,movie tunes
20,Jodi Benson,show tunes
21,Jodi Benson,disney
21,Jodi Benson,hollywood
21,Jodi Benson,movie tunes
21,Jodi Benson,show tunes
22,Jodi Benson,disney
22,Jodi Benson,hollywood
22,Jodi Benson,movie tunes
22,Jodi Benson,show tunes
23,Jodi Benson,disney
23,Jodi Benson,hollywood
23,Jodi Benson,movie tunes
23,Jodi Benson,show tunes
24,Jodi Benson,disney
24,Jodi Benson,hollywood
24,Jodi Benson,movie tunes
24,Jodi Benson,show tunes
25,Jodi Benson,disney
25,Jodi Benson,hollywood
25,Jodi Benson,movie tunes
25,Jodi Benson,show tunes
26,Jodi Benson,disney
26,Jodi Benson,hollywood
26,Jodi Benson,movie tunes
26,Jodi Benson,show tunes
27,Carpenters,adult standards
27,Carpenters,mellow gold
27,Carpenters,soft rock
28,Carpenters,adult standards
28,Carpenters,mellow gold
28,Carpenters,soft rock
29,Carpenters,adult standards
29,Carpenters,mellow gold
29,Carpenters,soft rock
30,Carpenters,adult standards
30,Carpenters,mellow gold
30,Carpenters,soft rock
31,Carpenters,adult standards
31,Carpenters,mellow gold
31,Carpenters,soft rock
32,Carpenters,adult standards
32,Carpenters,mellow gold
32,Carpenters,soft rock
33,Carpenters,adult standards
33,Carpenters,mellow gold
33,Carpenters,soft rock
34,The Smashing Pumpkins,alternative metal
34,The Smashing Pumpkins,alternative rock
34,The Smashing Pumpkins,grunge
34,The Smashing Pumpkins,permanent wave
34,The Smashing Pumpkins,pop rock
34,The Smashing Pumpkins,rock
35,The Smashing Pumpkins,alternative metal
35,The Smashing Pumpkins,alternative rock
35,The Smashing Pumpkins,grunge
35,The Smashing Pumpkins,permanent wave
35,The Smashing Pumpkins,pop rock
35,The Smashing Pumpkins,rock
36,The Smashing Pumpkins,alternative metal
36,The Smashing Pumpkins,alternative rock
36,The Smashing Pumpkins,grunge
36,The Smashing Pumpkins,permanent wave
36,The Smashing Pumpkins,pop rock
36,The Smashing Pumpkins,rock
37,The Smashing Pumpkins,alternative metal
37,The Smashing Pumpkins,alternative rock
37,The Smashing Pumpkins,grunge
37,The Smashing Pumpkins,permanent wave
37,The Smashing Pumpkins,pop rock
37,The Smashing Pumpkins,rock
38,The Smashing Pumpkins,alternative metal
38,The Smashing Pumpkins,alternative rock
38,The Smashing Pumpkins,grunge
38,The Smashing Pumpkins,permanent wave
38,The Smashing Pumpkins,pop rock
38,The Smashing Pumpkins,rock
39,The Smashing Pumpkins,alternative metal
39,The Smashing Pumpkins,alternative rock
39,The Smashing Pumpkins,grunge
39,The Smashing Pumpkins,permanent wave
39,The Smashing Pumpkins,pop rock
39,The Smashing Pumpkins,rock
40,The Smashing Pumpkins,alternative metal
40,The Smashing Pumpkins,alternative rock
40,The Smashing Pumpkins,grunge
40,The Smashing Pumpkins,permanent wave
40,The Smashing Pumpkins,pop rock
40,The Smashing Pumpkins,rock
41,The Smashing Pumpkins,alternative metal
41,The Smashing Pumpkins,alternative rock
41,The Smashing Pumpkins,grunge
41,The Smashing Pumpkins,permanent wave
41,The Smashing Pumpkins,pop rock
41,The Smashing Pumpkins,rock
42,The Smashing Pumpkins,alternative metal
42,The Smashing Pumpkins,alternative rock
42,The Smashing Pumpkins,grunge
42,The Smashing Pumpkins,permanent wave
42,The Smashing Pumpkins,pop rock
42,The Smashing Pumpkins,rock
43,The Smashing Pumpkins,alternative metal
43,The Smashing Pumpkins,alternative rock
43,The Smashing Pumpkins,grunge
43,The Smashing Pumpkins,permanent wave
43,The Smashing Pumpkins,pop rock
43,The Smashing Pumpkins,rock
44,The Smashing Pumpkins,alternative metal
44,The Smashing Pumpkins,alternative rock
44,The Smashing Pumpkins,grunge
44,The Smashing Pumpkins,permanent wave
44,The Smashing Pumpkins,pop rock
44,The Smashing Pumpkins,rock
45,The Smashing Pumpkins,alternative metal
45,The Smashing Pumpkins,alternative rock
45,The Smashing Pumpkins,grunge
45,The Smashing Pumpkins,permanent wave
45,The Smashing Pumpkins,pop rock
45,The Smashing Pumpkins,rock
46,The Smashing Pumpkins,alternative metal
46,The Smashing Pumpkins,alternative rock
46,The Smashing Pumpkins,grunge
46,The Smashing Pumpkins,permanent wave
46,The Smashing Pumpkins,pop rock
46,The Smashing Pumpkins,rock
47,The Smashing Pumpkins,alternative metal
47,The Smashing Pumpkins,alternative rock
47,The Smashing Pumpkins,grunge
47,The Smashing Pumpkins,permanent wave
47,The Smashing Pumpkins,pop rock
47,The Smashing Pumpkins,rock
48,The Smashing Pumpkins,alternative metal
48,The Smashing Pumpkins,alternative rock
48,The Smashing Pumpkins,grunge
48,The Smashing Pumpkins,permanent wave
48,The Smashing Pumpkins,pop rock
48,The Smashing Pumpkins,rock
49,Biz Markie,east coast hip hop
49,Biz Markie,electro
49,Biz Markie,gangster rap
49,Biz Markie,golden age hip hop
49,Biz Markie,hardcore hip hop
49,Biz Markie,hip hop
49,Biz Markie,old school hip hop
49,Biz Markie,rap
50,Biz Markie,east coast hip hop
50,Biz Markie,electro
50,Biz Markie,gangster rap
50,Biz Markie,golden age hip hop
50,Biz Markie,hardcore hip hop
50,Biz Markie,hip hop
50,Biz Markie,old school hip hop
50,Biz Markie,rap
51,Biz Markie,east coast hip hop
51,Biz Markie,electro
51,Biz Markie,gangster rap
51,Biz Markie,golden age hip hop
51,Biz Markie,hardcore hip hop
51,Biz Markie,hip hop
51,Biz Markie,old school hip hop
51,Biz Markie,rap
52,Biz Markie,east coast hip hop
52,Biz Markie,electro
52,Biz Markie,gangster rap
52,Biz Markie,golden age hip hop
52,Biz Markie,hardcore hip hop
52,Biz Markie,hip hop
52,Biz Markie,old school hip hop
52,Biz Markie,rap
53,Biz Markie,east coast hip hop
53,Biz Markie,electro
53,Biz Markie,gangster rap
53,Biz Markie,golden age hip hop
53,Biz Markie,hardcore hip hop
53,Biz Markie,hip hop
53,Biz Markie,old school hip hop
53,Biz Markie,rap
54,Biz Markie,east coast hip hop
54,Biz Markie,electro
54,Biz Markie,gangster rap
54,Biz Markie,golden age hip hop
54,Biz Markie,hardcore hip hop
54,Biz Markie,hip hop
54,Biz Markie,old school hip hop
54,Biz Markie,rap
55,Biz Markie,east coast hip hop
55,Biz Markie,electro
55,Biz Markie,gangster rap
55,Biz Markie,golden age hip hop
55,Biz Markie,hardcore hip hop
55,Biz Markie,hip hop
55,Biz Markie,old school hip hop
55,Biz Markie,rap
56,Biz Markie,east coast hip hop
56,Biz Markie,electro
56,Biz Markie,gangster rap
56,Biz Markie,golden age hip hop
56,Biz Markie,hardcore hip hop
56,Biz Markie,hip hop
56,Biz Markie,old school hip hop
56,Biz Markie,rap
57,Biz Markie,east coast hip hop
57,Biz Markie,electro
57,Biz Markie,gangster rap
57,Biz Markie,golden age hip hop
57,Biz Markie,hardcore hip hop
57,Biz Markie,hip hop
57,Biz Markie,old school hip hop
57,Biz Markie,rap
58,Biz Markie,east coast hip hop
58,Biz Markie,electro
58,Biz Markie,gangster rap
58,Biz Markie,golden age hip hop
58,Biz Markie,hardcore hip hop
58,Biz Markie,hip hop
58,Biz Markie,old school hip hop
58,Biz Markie,rap
59,Biz Markie,east coast hip hop
59,Biz Markie,electro
59,Biz Markie,gangster rap
59,Biz Markie,golden age hip hop
59,Biz Markie,hardcore hip hop
