,endTime,year,month,day,hour,artist,album,track,genres,minutesPlayed,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,2019-08-29 16:31:00,2019,8,29,16,The Outfield,Super Hits,Your Love,"['album rock', 'mellow gold', 'new romantic', 'new wave pop', 'power pop', 'soft rock']",3.61,5dRQUolXAVX3BbCiIxmSsf,0.555,0.757,1,-7.868,0,0.0601,0.103,1.16e-06,0.0631,0.582,129.607
1,2021-05-03 18:28:00,2021,5,3,18,The Outfield,Super Hits,Your Love,"['album rock', 'mellow gold', 'new romantic', 'new wave pop', 'power pop', 'soft rock']",3.7,5dRQUolXAVX3BbCiIxmSsf,0.555,0.757,1,-7.868,0,0.0601,0.103,1.16e-06,0.0631,0.582,129.607
2,2021-06-08 13:56:00,2021,6,8,13,The Outfield,Super Hits,Your Love,"['album rock', 'mellow gold', 'new romantic', 'new wave pop', 'power pop', 'soft rock']",3.7,5dRQUolXAVX3BbCiIxmSsf,0.555,0.757,1,-7.868,0,0.0601,0.103,1.16e-06,0.0631,0.582,129.607
3,2021-08-16 11:26:00,2021,8,16,11,The Outfield,Super Hits,Your Love,"['album rock', 'mellow gold', 'new romantic', 'new wave pop', 'power pop', 'soft rock']",3.7,5dRQUolXAVX3BbCiIxmSsf,0.555,0.757,1,-7.868,0,0.0601,0.103,1.16e-06,0.0631,0.582,129.607
4,2021-09-07 17:59:00,2021,9,7,17,The Outfield,Super Hits,Your Love,"['album rock', 'mellow gold', 'new romantic', 'new wave pop', 'power pop', 'soft rock']",3.7,5dRQUolXAVX3BbCiIxmSsf,0.555,0.757,1,-7.868,0,0.0601,0.103,1.16e-06,0.0631,0.582,129.607
5,2021-09-13 02:01:00,2021,9,13,2,The Outfield,Super Hits,Your Love,"['album rock', 'mellow gold', 'new romantic', 'new wave pop', 'power pop', 'soft rock']",3.7,5dRQUolXAVX3BbCiIxmSsf,0.555,0.757,1,-7.868,0,0.0601,0.103,1.16e-06,0.0631,0.582,129.607
6,2021-09-15 17:09:00,2021,9,15,17,The Outfield,Super Hits,Your Love,"['album rock', 'mellow gold', 'new romantic', 'new wave pop', 'power pop', 'soft rock']",3.7,5dRQUolXAVX3BbCiIxmSsf,0.555,0.757,1,-7.868,0,0.0601,0.103,1.16e-06,0.0631,0.582,129.607
7,2019-08-29 16:52:00,2019,8,29,16,Lea Salonga,Aladdin,A Whole New World,"['hollywood', 'movie tunes', 'show tunes', 'tagalog worship']",2.68,5VIfacsWytkcgr7aTt8Tql,0.341,0.229,0,-15.795,1,0.0344,0.846,2.81e-06,0.101,0.131,126.852
8,2020-10-29 15:46:00,2020,10,29,15,Gorillaz,"Song Machine, Season One: Strange Timez",MLS (feat. JPEGMAFIA and CHAI),['alternative hip hop'],3.22,1mDbaq398rKyA2g4vv5obQ,0.745,0.653,6,-7.511,0,0.074,0.0889,0.0,0.104,0.68,90.006
9,2020-10-29 15:50:00,2020,10,29,15,Gorillaz,"Song Machine, Season One: Strange Timez",MLS (feat. JPEGMAFIA and CHAI),['alternative hip hop'],3.23,1mDbaq398rKyA2g4vv5obQ,0.745,0.653,6,-7.511,0,0.074,0.0889,0.0,0.104,0.68,90.006
10,2020-12-12 15:39:00,2020,12,12,15,Gorillaz,"Song Machine, Season One: Strange Timez",MLS (feat. JPEGMAFIA and CHAI),['alternative hip hop'],0.28,1mDbaq398rKyA2g4vv5obQ,0.745,0.653,6,-7.511,0,0.074,0.0889,0.0,0.104,0.68,90.006
11,2021-02-19 14:53:00,2021,2,19,14,Gorillaz,"Song Machine, Season One: Strange Timez",MLS (feat. JPEGMAFIA and CHAI),['alternative hip hop'],0.35,1mDbaq398rKyA2g4vv5obQ,0.745,0.653,6,-7.511,0,0.074,0.0889,0.0,0.104,0.68,90.006
12,2021-04-30 21:47:00,2021,4,30,21,Gorillaz,"Song Machine, Season One: Strange Timez",MLS (feat. JPEGMAFIA and CHAI),['alternative hip hop'],0.29,1mDbaq398rKyA2g4vv5obQ,0.745,0.653,6,-7.511,0,0.074,0.0889,0.0,0.104,0.68,90.006
13,2021-05-07 17:38:00,2021,5,7,17,Gorillaz,"Song Machine, Season One: Strange Timez",MLS (feat. JPEGMAFIA and CHAI),['alternative hip hop'],2.45,1mDbaq398rKyA2g4vv5obQ,0.745,0.653,6,-7.511,0,0.074,0.0889,0.0,0.104,0.68,90.006
